Price,Levy,Prod. year,Category,Leather interior,Fuel type,Engine volume,Cylinders,Gear box type,Drive wheels,Color,Airbags,Make model,Mileage (mi)
13328,1399,2010,Jeep,Yes,Hybrid,3.5,6.0,Automatic,4x4,Silver,12,LEXUS RX 450,115578
16621,1018,2011,Jeep,No,Petrol,3,6.0,Tiptronic,4x4,Black,8,CHEVROLET Equinox,119303
8467,0,2006,Hatchback,No,Petrol,1.3,4.0,Variator,Front,Black,2,HONDA FIT,124274
3607,862,2011,Jeep,Yes,Hybrid,2.5,4.0,Automatic,4x4,White,0,FORD Escape,104991
11726,446,2014,Hatchback,Yes,Petrol,1.3,4.0,Automatic,Front,Silver,4,HONDA FIT,57105
39493,891,2016,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Santa FE,99998
1803,761,2010,Hatchback,Yes,Hybrid,1.8,4.0,Automatic,Front,White,12,TOYOTA Prius,160879
1098,394,2014,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Black,12,TOYOTA Camry,247349
26657,0,2007,Jeep,Yes,Petrol,3.5,6.0,Automatic,4x4,Silver,12,LEXUS RX 350,79846
8781,0,1999,Microbus,No,CNG,4,8.0,Manual,Rear,Blue,0,FORD Transit,0
3000,0,1997,Goods wagon,No,CNG,1.6,4.0,Manual,Front,White,4,OPEL Vectra,217480
1019,1055,2013,Jeep,Yes,Hybrid,3.5,6.0,Automatic,Front,White,12,LEXUS RX 450,85773
59464,891,2016,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Santa FE,47224
7683,810,2016,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Blue,12,HYUNDAI Elantra,75708
28382,810,2016,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,White,4,HYUNDAI Elantra,33751
18826,531,2012,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Silver,4,HYUNDAI Elantra,69994
20698,586,2012,Sedan,Yes,Plug-in Hybrid,1.8,4.0,Automatic,Front,White,12,TOYOTA Prius,116196
17562,1249,2017,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,Black,12,TOYOTA Camry,24674
7840,0,2001,Microbus,No,Diesel,2.0 Turbo,4.0,Manual,Front,White,0,FORD Transit,142915
4704,0,1995,Sedan,No,Petrol,1.8,4.0,Automatic,Front,Green,4,OPEL Vectra,0
20385,0,2006,Sedan,Yes,Diesel,2.2 Turbo,4.0,Tiptronic,Rear,Black,8,MERCEDES-BENZ E 220,130488
14454,583,2011,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Silver,4,HYUNDAI Elantra,98666
12074,1537,2009,Jeep,Yes,Hybrid,3.3,6.0,Automatic,4x4,Blue,12,TOYOTA Highlander,261318
15681,1288,2007,Goods wagon,No,Diesel,2.0 Turbo,6.0,Manual,Rear,White,4,MERCEDES-BENZ Vito,111847
19444,915,2014,Jeep,Yes,Diesel,3,6.0,Automatic,4x4,White,12,PORSCHE Cayenne,108775
6899,0,2000,Jeep,Yes,CNG,4.4,8.0,Automatic,4x4,Silver,6,BMW X5,124274
24462,0,2007,Jeep,Yes,Diesel,3.0 Turbo,6.0,Tiptronic,4x4,Black,10,JEEP Grand Cherokee,155343
23235,707,2011,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Grey,4,HYUNDAI Santa FE,100662
51746,1077,2019,Jeep,No,Petrol,2,4.0,Tiptronic,Front,Red,12,TOYOTA CHR Limited,6338
7527,1486,2010,Hatchback,No,Hybrid,1.3,4.0,Automatic,Front,Black,4,HONDA FIT,98177
19121,531,2012,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Silver,4,HYUNDAI Elantra,64306
24462,751,2013,Sedan,Yes,Petrol,2.4,4.0,Automatic,Front,Blue,4,TOYOTA Camry,126263
45734,1091,2016,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Black,4,HYUNDAI H1,37939
20165,650,2016,Sedan,Yes,Petrol,1.4 Turbo,4.0,Tiptronic,Front,Black,8,VOLKSWAGEN Jetta,6959
21326,382,2014,Sedan,Yes,Hybrid,2.4,4.0,Tiptronic,Front,White,12,HYUNDAI Sonata,87613
15681,503,2012,Hatchback,No,Hybrid,1.5,4.0,Variator,Front,Sky blue,8,TOYOTA Prius C,79535
55390,1017,2017,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Black,4,HYUNDAI Santa FE,62593
12544,0,2012,Hatchback,No,Hybrid,1.5,4.0,Automatic,Front,Black,8,TOYOTA Aqua,87924
17249,0,2008,Jeep,No,Hybrid,2.3,4.0,Variator,4x4,White,8,FORD Escape Hybrid,91342
34889,891,2016,Sedan,Yes,Petrol,2,4.0,Automatic,Front,Blue,4,HONDA Civic,54536
14583,0,2008,Sedan,No,Diesel,1.5 Turbo,4.0,Manual,Front,White,10,RENAULT Megane 1.5CDI,82358
38500,639,2014,Jeep,Yes,Petrol,2,1.0,Tiptronic,4x4,White,12,AUDI Q5,54059
8781,0,2001,Coupe,No,Petrol,2,4.0,Manual,Rear,Blue,0,MERCEDES-BENZ C 180,161556
87112,0,2019,Jeep,Yes,Petrol,2.0 Turbo,4.0,Tiptronic,4x4,Grey,0,MERCEDES-BENZ GLA 250,3308
1411,629,2015,Jeep,Yes,Petrol,1.6,4.0,Automatic,4x4,Black,0,NISSAN Juke,54129
23521,781,2018,Sedan,No,Petrol,1.4 Turbo,4.0,Automatic,Front,Red,6,CHEVROLET Cruze LT,13670
16935,530,2013,Sedan,No,Petrol,1.6 Turbo,4.0,Tiptronic,Front,Silver,8,FORD Fusion,51574
10349,0,2007,Minivan,Yes,Petrol,2.4,4.0,Automatic,Front,Black,6,TOYOTA VOXY,105633
7213,530,2013,Jeep,Yes,Petrol,1.6,4.0,Automatic,Front,Black,0,NISSAN Juke,193941
5331,0,2004,Sedan,No,Petrol,1.6,4.0,Tiptronic,Front,Black,6,MERCEDES-BENZ A 160,80778
20526,640,2013,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Grey,4,HYUNDAI Tucson,124448
9722,765,2015,Sedan,Yes,LPG,2,4.0,Automatic,Front,Orange,4,HYUNDAI Sonata,447292
34657,777,2014,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Silver,4,HYUNDAI H1,96109
36564,1091,2016,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Black,4,HYUNDAI H1,68953
5488,0,2001,Hatchback,No,Petrol,1.5,4.0,Manual,Front,Sky blue,3,TOYOTA Vitz,130488
30063,934,2015,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Silver,4,HYUNDAI H1,92028
15800,769,2011,Jeep,Yes,Diesel,2.2,4.0,Automatic,Front,Silver,4,CHEVROLET Captiva,158733
43952,1249,2017,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Grey,4,HYUNDAI H1,69372
53154,891,2016,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Silver,4,HYUNDAI Santa FE,52510
14740,645,2011,Hatchback,No,Hybrid,1.8,4.0,Automatic,Front,White,8,TOYOTA Prius,178955
42337,0,2016,Cabriolet,Yes,Petrol,2.3 Turbo,4.0,Tiptronic,Rear,Silver,6,FORD Mustang,46603
3763,1053,2014,Jeep,Yes,Petrol,3.5,6.0,Automatic,Rear,White,12,MERCEDES-BENZ ML 350,58634
18189,0,2012,Sedan,No,Petrol,1.8,4.0,Automatic,Front,Silver,8,TOYOTA Prius,108740
5645,1324,2010,Jeep,Yes,Hybrid,3.3,6.0,Automatic,4x4,White,12,TOYOTA Highlander,164587
7527,830,2019,Sedan,Yes,Petrol,1.5,4.0,Automatic,Front,White,12,TOYOTA Yaris,17185
21953,1187,2014,Sedan,No,Hybrid,1.4,8.0,Automatic,4x4,White,10,HONDA Civic,9942
8154,0,1998,Jeep,No,Petrol,2,4.0,Automatic,4x4,White,2,HONDA Cr-v,0
21953,781,2012,Sedan,No,Petrol,2.5,4.0,Automatic,Front,Black,0,TOYOTA Camry,121200
19121,531,2012,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Black,4,HYUNDAI Elantra,75411
36065,639,2014,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Santa FE,42993
8781,1111,2012,Hatchback,Yes,Hybrid,1.3,4.0,Tiptronic,Front,Green,12,HONDA FIT,51574
6247,760,2010,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Black,4,CHEVROLET Cruze,25335
16289,642,2012,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Grey,4,CHEVROLET Orlando,106876
77775,1604,2014,Jeep,Yes,Petrol,5.5,8.0,Automatic,4x4,Black,10,MERCEDES-BENZ GL 63 AMG,269558
2822,0,1995,Sedan,Yes,Petrol,2,6.0,Manual,Rear,Blue,2,BMW 520 Vanos,217480
6981,1095,2008,Sedan,Yes,Petrol,2,4.0,Automatic,Front,Black,4,DAEWOO Lacetti,64154
27284,891,2016,Sedan,No,Petrol,2,4.0,Tiptronic,Front,Black,12,HYUNDAI Elantra,65489
32929,0,2013,Coupe,Yes,Petrol,2.0 Turbo,4.0,Automatic,Rear,Black,12,BMW 428 Sport Line,99419
18817,0,1990,Jeep,No,Diesel,2.8 Turbo,4.0,Manual,Rear,Black,0,NISSAN Patrol,207123
4234,0,1997,Hatchback,Yes,Petrol,1.4,4.0,Manual,Front,Blue,6,HONDA Civic,0
15053,0,2004,Sedan,Yes,Petrol,3.2,6.0,Tiptronic,Rear,Grey,8,MERCEDES-BENZ E 320,132973
15458,966,2009,Coupe,Yes,Petrol,2,4.0,Automatic,Front,Black,4,HYUNDAI Genesis,76644
2901,473,2014,Sedan,Yes,Petrol,1.4,4.0,Automatic,Front,Green,12,CHEVROLET Cruze,50224
15681,1811,2010,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Silver,0,LEXUS GX 460,171026
